"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Tamarind Tribeca","False","True","5","Lamb chops to die for, get for the Butter Chicken and the dum goat biryani! ","2022-05-17 19:04:20.861397+00:00"
"Benares","False","True","4","Best achari chicken! Nice ambience, not too expensive and solid Indian food for takeout but also dine in! ","2022-05-17 19:05:36.822887+00:00"
"Dante","False","True","5","Killer espresso martinis but the hidden gem was the Royale Margarita! ","2022-05-17 19:03:29.375337+00:00"
"Fiaschetteria Pistoia","False","True","5","One of the best pasta places in the city! Cacio E Pepe, Papardelle and Boar Ragu are the best! Must get the TIRAMISU!! ","2022-05-21 21:17:24.273061+00:00"
