"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Peri Peri Original","False","True","5","","2022-09-18 01:06:57.921571+00:00"
"Peri Peri Original","False","True","5","Best chicken sandwiches and can be super spicy ","2022-08-12 00:04:40.153898+00:00"
