"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Bar Del Corso","False","True","5","Butternut squash risotto, great cocktails and my fav was the eggplant burrata ! ","2022-10-12 05:06:53.950692+00:00"
"Khushi","False","True","5","","2022-09-20 22:31:43.769370+00:00"
"Bake Cheese Tart","False","True","5","","2022-10-14 18:30:22.814166+00:00"
"Bake Cheese Tart","False","True","5"," ","2022-10-14 18:29:56.830767+00:00"
"Kinara Fusion Kitchen","False","True","5"," ","2022-10-14 02:28:04.043384+00:00"
"Khushi","False","True","5","Best chaat in Seattle!! ","2022-09-20 22:32:33.583418+00:00"
"Maurya Indian Groceries & Cafe - Issaquah","False","True","5","","2022-07-18 04:30:18.640261+00:00"
"Morsel","False","True","5","Chive Biscuit with tomato jam and cucumber ❤️❤️","2022-10-16 18:12:15.263979+00:00"
