"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Food Court","False","True","3","Solid old timey diner with great hot chocolate ","2022-04-18 18:10:21.502681+00:00"
"Dancing Yak Nepali Cuisine & Bar","False","True","4","The cuisine Is very similar to Indian cuisine, but it isn’t Indian. Pretty flavorful. ","2022-06-21 13:45:21.882405+00:00"
"Liberty Bagels","False","True","5","My definition of NY Bagels. Dough is really doughey, spreads are plentiful. Don’t get the bagel toasted","2022-04-15 15:00:59.908039+00:00"
"Brenda's Meat & Three","False","True","4","Great soul food in the middle of SF. Chicken Sammie was delicious. ","2022-06-25 20:08:27.333788+00:00"
"Nirvana Soul","False","True","5","Surprised by how busy it was, but after tasting, I get it. The drinks are unique, the atmosphere is dope. Must try if you’re in the area. ","2022-06-25 19:59:26.192049+00:00"
"GRIND NYC","False","True","4","Solid coffee shop, their fresh pressed OJ is good. I actually buy their grounds for my own brewing ","2022-04-18 18:29:48.269783+00:00"
"REMI Flower & Coffee","False","True","3","Great date spot, ok coffee, but the ambiance is nice. ","2022-04-18 18:44:15.335019+00:00"
"Alfie's","False","True","5","Truthfully, this was my neighborhood bar. They have good food, great drinks, and in my case, countless memories","2022-04-15 16:00:01.156548+00:00"
"Summer House Santa Monica","False","True","5","Front like I was in LA, the Avo Toast was good. Bread was too thick but everything else was fine. Girl I was with ordered a burger and the staff mixed our order up, so I guess they make assumptions 🙄🙄","2022-05-01 18:21:11.764847+00:00"
"Salt & Straw - Hayes Valley","False","True","4","I love ice cream, the flavors are different but delicious","2022-05-06 18:45:26.948786+00:00"
"Burrata Pizza","False","True","4","Had no business being this popping ","2022-04-21 15:36:53.916501+00:00"
"Lasani Grill","False","True","5","Family owned Pakistani grill, they make the food in front of you, can’t sing enough praises. ","2022-04-22 00:59:09.923686+00:00"
"The Halal Guys","False","True","3","It’s not what it used to be, but still a solid choice if you’re looking for quick food on the go ","2022-04-18 18:11:03.549830+00:00"
"Melt Shop","False","True","4","Amazing grilled cheese, instant regret. Warning. Does not fit any diet plan ","2022-04-15 18:00:22.533934+00:00"
"Romeo & Juliet Colombian Coffee","False","True","3","My favorite coffee of theirs is the “grandpa” or “grandma” coffee, but they barely have it… ever. If that was more consistently available I’d rank this higher. Good coffee bites to go ","2022-04-18 18:40:59.020591+00:00"
"Harding's","False","True","1","To say the kitchen is subpar would be too generous. As a restaurant the main thing you should be focused on is food, if people aren’t able to eat it, you shouldn’t be in business. Maybe I had a bad experience, but in a city like NYC why would I even think of going back when I couldn’t eat the food the first time, and still paid for it? 

Not good for veggies. ","2022-04-14 14:11:21.982831+00:00"
"Avra Madison Estiatorio","False","True","4","Ambiance is great, price — not so much. Food was yum, the service was really dope. I went during the day though","2022-04-18 03:59:52.320363+00:00"
"Birch Coffee","False","True","4","The vanilla latte is something I think about from time to time, their birch latte is yummy too. Sadly only seasonal ","2022-04-18 18:39:45.165053+00:00"
"Benares","False","True","4","Good vibes, good food, not much else to say","2022-04-15 18:02:49.191176+00:00"
"Sense of Thai St","False","True","4","Some real heat is packed, food is dope ","2022-04-27 02:50:55.063714+00:00"
"Red Bamboo","False","True","3","I’m more shook that this was all vegan, food was tasty but not filling ","2022-04-18 04:08:57.372088+00:00"
"Beatnik - West Town","False","True","5","Ambiance was top tier, service was friendly, loved the spread, can get expensive and portions on entrees are huge ","2022-04-27 03:00:33.402223+00:00"
"Chicago's Pizza With A Twist (Ashburn, VA)","False","True","4","Love the food, love that it also has vegan and dairy free options ","2022-04-27 02:54:26.568760+00:00"
"Rubino's Pizzeria","False","True","2","I walked in wanting pizza, I walked out depressed","2022-04-27 02:48:40.091196+00:00"
"The Meatball Shop","False","True","3","Nothing special, but it’ll get you satiated","2022-04-15 15:56:44.833436+00:00"
"Amy's Bread","False","True","4","Mouth watering pastries , so good. Def check it out if you can","2022-04-18 18:46:33.651901+00:00"
"Pick A Bagel","False","True","4","The line is the worst thing about this place ","2022-04-18 19:00:16.252839+00:00"
"Taim - Maiden Ln","False","True","3","Fast casual medi place, not meant for seated dining. Usually got this for lunch at work ","2022-04-15 17:58:41.285187+00:00"
"Ippudo","False","True","5","This is where I go when I’m craving Ramen. I love going here alone, and just listening to podcast while eating ramen. Their bao buns were absolutely magical ","2022-04-18 18:03:04.545403+00:00"
"Grace Street","False","True","4","Worth the wait, has a large seating area. Very tasty desserts but they are heavy. ","2022-04-15 15:13:46.387822+00:00"
"Blend Coffee Bar","False","True","5","Admittedly this is partial to my experience here, but I’ve been going here for years and absolutely love their coffee and vibe. This place got me through college and has countless memories ","2022-04-27 02:48:16.115895+00:00"
"The Bandit","False","True","4","The Nashville hot tenders are amazing. Drinks were good (supposedly), our server was funny af and kept bringing us extra drinks. It’s a party all the time, went for brunch and for dinner. ","2022-04-28 18:16:15.785619+00:00"
"Dancing Yak Nepali Cuisine & Bar","False","True","4","Food is delicious, didn’t know what to expect from Nepalese cuisine. Goat curry was tender and yums","2022-06-25 20:02:56.734160+00:00"
"Schmackary's","False","True","3","The cookies were good, but it wasn’t something I would go back for ","2022-04-18 21:19:45.423920+00:00"
"Souvla","False","True","3","It was ok, decent food, nothing special","2022-06-24 15:26:43.471920+00:00"
"Leonidas","False","True","5","I used to go here every Tuesday at 2 for nearly 2 years. Their coffee was fine, but the free chocolate that came with the coffee was amazing 🥴","2022-04-18 18:53:44.261310+00:00"
"Burma Love","False","True","5","I think about this place a lot. I was put on to this by a friend, and lemme tell you, shit slaps. Perfect balance between Indian, Thai, Chinese food in terms of flavor, heat, and savory-ness. ","2022-05-19 15:19:30.620949+00:00"
"VIV Regional Thai Cuisine","False","True","5","I order from this place entirely too much. Thai food is solid. Vegetarians get the Massaman curry. It’s a must try. ","2022-04-15 15:04:09.034209+00:00"
"Brooklyn Diner","False","True","4","Great date spot, the old timey feel of the restaurant really takes you back in time. Food was good, the portions are whack though, shit looks like they just made everything Jumbo sized ","2022-04-14 19:37:59.083238+00:00"
"Brekkie Bagels","False","True","3","You won’t be disappointed, but you also won’t find a revelation here ","2022-04-22 00:17:59.808491+00:00"
"Le Privé","False","True","4","French food that is affordable and delicate. Loved the service ","2022-04-23 14:43:15.954186+00:00"
"Saar Indian Cuisine & Bar","False","True","3","They had pani puri shots, which were nasty, but the food was good. Shouldn’t have added vodka to pani puri ","2022-04-18 18:28:23.567394+00:00"
"Kailash Parbat","False","True","5","Hidden gem for chaat in the city","2022-04-18 04:09:24.460008+00:00"
"Briciola","False","True","5","A small hidden gem in the city, used to be just a communal table for everyone in the restaurant. They’ve expanded since, but I’ve been coming back for years and the quality of their food hasn’t come down. If you go, ask for the Black Truffle Gnocchi, it’s not in the menu but it’s bomb. Also, their selection of wine is nice. ","2022-04-14 14:03:08.060037+00:00"
"Punjabi Junction VA","False","True","4","Good Indian food at a convenient location ","2022-04-27 02:46:13.969646+00:00"
"Think Coffee","False","True","4","Their espresso is good, black coffee is definitively better than run of the mill coffee spots. Their hot chocolate tho, that shit is decadent. ","2022-04-18 18:43:31.035398+00:00"
"La Pecora Bianca","False","True","4","Solid entrees and apps, heard the drinks were good, but nothing super memorable","2022-04-18 04:01:14.111405+00:00"
"Crumbl Cookies - Vienna","False","True","5","Crumbl is heavy! The cookies are so good. ","2022-05-06 18:55:24.825361+00:00"
"Ampersand","False","True","4","Really nice cocktails, their bar food is really good. ","2022-04-18 18:16:01.488489+00:00"
"SUGARFISH by sushi nozawa","False","True","5","This place is all sushi no frills (or gills), their Omkase is definitely a treat. The restaurant focuses heavily on the quality of the food, to the point where it’s frowned upon to make any changes to the food or request extra sauce. “Anything that needs sauce will already have it on it.” While that sounded pretentious as fuck at first, trust the process. Worth the wait. ","2022-04-14 18:56:50.444580+00:00"
"St Kilda Coffee","False","True","3","Personally not a fan of the St Kilda roasts, but I have a friend who swears by it","2022-04-18 18:45:49.609654+00:00"
"Doughnut Plant","False","True","4","These donuts were addicting. They were soft, but still dense. Hard to describe but very yum. ","2022-04-25 12:03:35.549129+00:00"
"Havana Central","False","True","4","Went with a giant group, staff was super friendly and helpful. The entire place was just a vibe. Caribbean food was new for me, def. Going to go back ","2022-04-14 20:28:54.789288+00:00"
"Matchbox","False","True","3","Food was ok, surprised they’re still in business ","2022-04-27 02:52:04.325408+00:00"
"Holey Cream","False","True","5","Come on get high and loosen my belt, get in my tummy you blessed dessert ","2022-04-18 03:41:44.326324+00:00"
"Uncle Julio's","False","True","3","Mid","2022-04-27 02:51:05.827272+00:00"
"Empanada Mama","False","True","3","Order this when you’re drunk, it’s incredible. 

Avoid this when you’re sober, it’s concerning. ","2022-04-14 19:39:19.963438+00:00"
"My Thai Place Restaurant","False","True","4","Go to Thai restaurant, no frills just good food","2022-04-27 02:46:59.284075+00:00"
"Cesarina","False","True","5","This ended up being a great time. Nice vibes, great food, even better service. They made tiramisu in front of me, like … what???? I didn’t know you could do that ","2022-05-05 18:47:20.028362+00:00"
"Mémé Mediterranean - New York","False","True","4","Great place to have an adhoc family style meal. The medi selection is nice, definitely try their lamb burgers. Portions are pretty big. ","2022-04-15 18:13:24.186110+00:00"
"Samba Kitchen","False","True","4","Never had Brazilian food before, didn’t know what to expect, but was pleasantly surprised at how filling and flavorful everything was. ","2022-04-14 20:26:35.389971+00:00"
"Dishoom","False","True","5","Went with work friends, great time. Food was dope, felt like I was in an Indian movie from the 80s. Love the ambiance, drinks, and apps. There was no call in resos so we had to wait in line, but worth it  ","2022-05-06 18:52:47.329818+00:00"
"Burma Love","False","True","5","Went again, love the food. It just doesn’t miss. ","2022-06-25 20:00:00.765445+00:00"
"Citizens of Chelsea","False","True","4","Citizens is a new food court with a bunch of options. So far haven’t had a bad experience. It has something for everyone ","2022-04-15 15:07:08.717462+00:00"
"Potbelly Sandwich Shop","False","True","2","Fuck no","2022-05-10 17:23:28.158308+00:00"
"Taco Bell","False","True","2","Just close this place down, never open, and when it’s open it’s got shitty quality ","2022-04-27 02:49:09.900203+00:00"
"Rubirosa Ristorante","False","True","4","Good za, not  in the running for the best, but strong contender for best of the rest","2022-04-15 15:14:48.657508+00:00"
"Oren's Hummus","False","True","5","Lamb Hummus - Lamb melted in my mouth, the hummus was also delicious

Chicken pita sandwich -  a lot more food than expected D: 

The pita bread was so warm and fluffy

Overall really good food for the price","2022-06-21 13:48:54.626737+00:00"
"AYZA Wine & Chocolate Bar","False","True","3","I had no business going here, I don’t like wine or chocolate. But ambiance is nice and overall food is decent ","2022-04-15 15:50:22.548512+00:00"
"Totto Ramen","False","True","4","Great spot for ramen, small place so you’ll be cozy","2022-04-18 18:00:58.301352+00:00"
"Rocket Sushi","False","True","4","Little rocket ships on a track bring you your food. Portions are bigger than your typical sushi restaurant ","2022-06-21 13:42:13.382628+00:00"
"1 Dollar Pizza","False","True","4","What are you really expecting in this review? It’s pizza for a dollar* 





*not actually $1","2022-04-18 18:18:23.827454+00:00"
"Rupa Vira's The Signature","False","True","4","Definitely a hidden gem in its own right","2022-04-27 02:50:15.971280+00:00"
"Wondee Siam","False","True","5","“Probably the closest thing to home cooked food I’ve tasted in a while” - my, impossible to please, Thai roommate ","2022-04-14 14:05:35.270894+00:00"
"Napizza","False","True","4","Solid authentic  pizzas for a decent price. The ambiance was really nice though","2022-06-21 13:40:09.897938+00:00"
"Sushi Nakazawa","False","True","5","If this could be 7 stars I’d make it. Michelin star restaurant, no frills just sushi. Omkase style. Server noticed one of our friends was a leftie so she told the chef and they started to realign his sushi plate to be easier for left handed folks. Serving staff know their shit too. Def. Worth the experience and price. ","2022-05-05 22:06:59.795352+00:00"
"Aoi Kitchen","False","True","5","Get the Omurice tenkatsu, it’s so good. The entirety of the dish consisted of subtle differences in textures sewing together much larger differences in flavor. This isn’t to say the flavors didn’t mesh, they did so effortlessly. I found myself wanting to eat more. Ambiance is nice, but not the highlight. ","2022-04-15 01:17:46.497703+00:00"
"Little Pie Company","False","True","5","You can never have just one bite. Go early, they run out pretty quick if you try to get their special pies. (Made daily)","2022-04-15 18:14:41.155663+00:00"
"Bengal Tiger Indian Food","False","True","4","Not for the faint of heart, the spicy is spicy. The flavor is dope tho, tried their coconut naan, cool one time try but garlic naan is ol faithful. Vindaloo curry took me back to India in all the best ways possible, spice, spice, and H1B visa lines. ","2022-04-20 16:32:01.303843+00:00"
"The Kati Roll Company","False","True","3","Too much hype not enough flavor. There’s so much oil, but solid drunk food ","2022-04-15 15:05:36.322185+00:00"
"John's Pizzeria","False","True","3","My old roommate used to trek here for what he deemed to be the best pizza in town. After trying it, I decided not to live with him again. 

Real talk, decent pizza, the ambiance is really nice ","2022-04-15 15:10:25.281558+00:00"
"JINYA Ramen Bar","True","False","","",""
"Cantina Laredo","True","False","","",""
"Papalote","True","False","","",""
"Mangrove Kitchen","True","False","","",""
