"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Cafe Ba-Ba-Reeba","False","True","5","ba ba reeba changed my life you have to get the goat cheese ","2022-11-22 02:21:46.675361+00:00"
"Bloom Sushi","False","True","5","","2022-07-21 05:39:42.902371+00:00"
"El Vez","False","True","5","dank nachos, byo cholula ","2022-08-16 19:07:17.181961+00:00"
"Gupshup","True","False","","",""
