"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"The Maze Bar & Eatery","False","True","4","The drinks come in glass milk cartons","2022-08-16 03:46:32.194308+00:00"
"Street Taco","False","True","5","","2022-08-03 19:48:56.577568+00:00"
"Xixa","False","True","5","Tasting menu with cocktail pairing is fire, perfect amt of food and drunk","2022-08-15 00:53:24.104387+00:00"
"Jaiya","False","True","4","","2022-08-03 23:40:02.936750+00:00"
"Cote","True","False","","",""
