"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Ramen Danbo","False","True","5","Great tasting veg options !! ","2022-07-08 02:37:04.613996+00:00"
"Stoneburner","False","True","5","Possibly one of the two best Italian places in the Ballard area ! ","2022-07-10 19:02:21.651918+00:00"
"Hot Cakes","False","True","5","Default go to place for dessert cravings. ","2022-07-10 19:01:37.872486+00:00"
"Kati Vegan Thai","False","True","5","Excellent starters, Devil’s wings is definitely worth a try. ","2022-07-10 20:37:55.767657+00:00"
"San Fermo","False","True","5","Great tasting food. Cozy spot in Ballard. Perfect for dates. ","2022-08-02 18:36:22.983244+00:00"
"Tacos Chukis","True","False","","",""
