"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Cosme","False","True","5","Duck carnitas was so good + the guacamole","2022-04-30 00:06:01.290591+00:00"
"Uncle Boons","False","True","5","Everything here was awesome. Hard to get res / line ","2022-05-06 20:28:37.183627+00:00"
"Caffè Panna","False","True","5","Best ice cream in NYC hands down. Honestly best ice cream I’ve ever had. So many incredible flavors and the additions are such high quality ","2022-04-30 00:06:59.591013+00:00"
"Dandelion Chocolate","False","True","5","Best hot chocolate in the city","2022-05-06 20:28:55.908933+00:00"
