"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Cafe Mogador","False","True","5","Amazing place","2022-09-03 18:55:33.128229+00:00"
"Desi Galli","False","True","4","Really good biryani, nothing mind blowing though","2022-09-19 20:00:11.883799+00:00"
"Rooh Chicago","False","True","5","Amazing contemporary Indian food","2022-06-28 19:52:39.543177+00:00"
"uluh","False","True","4","It was good, a little less flavorful than hoped","2022-08-13 01:31:22.210464+00:00"
"Topo Gigio","False","True","5","Great food and a relaxed vibe","2022-06-19 23:19:46.926563+00:00"
