"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Mother Wolf","False","True","5","","2022-08-05 04:19:42.307600+00:00"
"Blasteran Beverly Hills","False","True","4","Menu was an interesting combo of American and Indonesian. Burgers and nasi goreng were equally great. Slight downside since they don't serve cocktails; just beer and wine. Would go back.","2022-06-20 18:45:07.859225+00:00"
"Mother Wolf","False","True","4","Solid food. Would go again but wouldn't seen it out","2022-08-05 04:21:06.457583+00:00"
