"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Ben & Jerry's","False","True","4","Service was good, too many hippies","2022-02-04 17:56:29.691523+00:00"
"Beit Rima","False","True","5","It was great, I love the garlic sauce","2022-02-25 06:58:02.093698+00:00"
"HORSEFEATHER","False","True","5","Great environment, great food","2022-02-24 22:01:48.303202+00:00"
"Jim's South St.","False","True","5","One of the most well known cheesesteak places. Kinda basic but reliable","2022-05-03 18:30:12.419556+00:00"
"Patent Pending","True","False","","",""
"Taco Mahal","True","False","","",""
"Malai","True","False","","",""
"Manousheh","True","False","","",""
