"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"uluh","False","True","5","Contrary to what Leon may have you believe, I found this place!!!! And it’s amazing 😋","2022-07-14 15:00:12.114491+00:00"
"Blue Willow","False","True","4","","2022-07-24 19:55:47.682448+00:00"
"Blue Willow","False","True","4","I went here last year w randy and it was so beat but @leon wanted to try it again. Alas this man only told me 2 hours beforehand and invited 3 other ppl (glad he invited @claire though - I’m not complaining) so we had to sit OUTSIDE IN THE 95 DEGREE HEAT … food was much better this time though and I’d love to go back and try the stews (we couldn’t order them though we we were already getting hotboxed in the outdoor seating zzzzz)  ","2022-07-24 19:55:27.499531+00:00"
