"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Katsuya","False","True","5","Unreal drinks and unreal sushi AND unreal vibes. Find me here all summer ","2022-04-30 13:26:55.244567+00:00"
"Rubirosa Ristorante","False","True","5","One of my absolute favorites. ","2022-04-30 13:27:31.013178+00:00"
"Mono Mono","False","True","5","Not only is the food UNREAL, but this is one of the most unique and coolest vibes I’ve ever experienced at a restaurant. Their DJ throws down and their drinks are unreal. Recommend it for a weekend night before going out to get you in the mood!","2022-04-30 13:29:29.784741+00:00"
"Vic's","False","True","5","My favorite go to Italian spot in the city. Can get list minute reservations or sit at the bar. Great ambiance too! ","2022-04-12 01:36:07.649842+00:00"
"Los Tacos No.1","False","True","5","My Southern California Mexican food loving self approves of this place ","2022-04-12 01:38:03.989858+00:00"
"Thursday Kitchen","False","True","5","Move this place to the top of your list and DONT skip out on the truffle Mac n cheese and drinks. And yes, it is Korean food. ","2022-04-30 13:28:34.085543+00:00"
