"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Handcraft Kitchen & Cocktails","False","True","5","Amazing cocktails and great happy hour prices for the city. We also got two appetizers and they were really filling. Highly recommend, they have happy hour until 7 PM!","2022-07-14 17:05:14.423187+00:00"
"Killer PoBoys","False","True","5","Incredible Poboys. So many options and flavors. They have different twists on this Louisiana classic with Thai and other regional flavors. A number of vegetarian options as well.","2022-05-16 01:27:24.950283+00:00"
"Up Thai","False","True","4","Up Thai has always been good. Their Thai iced tea is stellar. This time some of the dishes were a bit bland while some were up to par. Beautiful decor. ","2022-07-14 18:52:10.797510+00:00"
"Tableau","False","True","4","We got the pesto linguine, buttermilk mashed potatoes, and Honeychild cocktail. 

Nice ambience, smaller portions but likely due to it being a fancy establishment. Really tasty food overall. ","2022-05-16 01:23:59.314085+00:00"
"Gumbo Shop","False","True","4","We got the vegetarian gumbo and garlic mashed potatoes. The gumbo could’ve been a little spicier but the taste was amazing. The mashed potatoes were 10 out of 10.","2022-05-16 01:21:47.568063+00:00"
"Stirr Addison","False","True","5","Incredible cocktails. 🍹 So many options and their happy hour is to die for. Cheap prices and amazing apps as well. ","2022-05-18 17:04:32.139193+00:00"
"Mango Thai Cuisine","False","True","5","Incredible Thai food. Got a variety of dishes from pad kee mow, cashew fried rice, pad Thai and more. Service was great. ","2022-07-03 05:11:32.695392+00:00"
