"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Besharam","False","True","3","Overpriced food was mediocre vibes and decor were good. Only gujarati Indian restaurant I’ve ever been to ","2022-05-05 05:54:10.449397+00:00"
"China Live","False","True","4","Pricey spot, but tasty and accessible Chinese food. Not too greasy. Love the ambiance! ","2022-04-06 16:17:48.137045+00:00"
"Zen Yai","False","True","4","","2022-05-19 08:01:08.382275+00:00"
"Zen Yai","False","True","4","Little gem in the tenderloin. Super cheap, authentic Thai, great skewers! ","2022-05-19 08:02:01.181323+00:00"
