"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Gracias Madre","False","True","4","This was a vegan friendly Mexican restaurant that had lots of delicious options. The Fajitas were made with portobello mushrooms and were very tasty. The Chimichanga was also very good.

The one thing that wasn't great was the quesadilla - there was no queso and was made entirely of sweet potatoes 😂","2022-09-24 21:28:29.341918+00:00"
"Chaatwala","False","True","4","The Pav Baaji was very good! The Pani Puri was ok. ","2022-08-01 00:37:59.722445+00:00"
"Courthaus Social: An American Beer Garden","False","True","5","Loved the Bier Hall vibes here - the 32oz mugs are great quality and add to the overall experience. Perfect for a brisk fall day 🍻","2022-08-01 00:47:48.105695+00:00"
