"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Mokuku","False","True","5","Best shabu shabu in the city! Didn’t think I would be able to find a place better than Shabu Club but I was proven wrong.","2022-06-09 16:12:46.630236+00:00"
"Burma Love","False","True","5","Amazing rice and eggplant","2022-05-19 02:32:37.903015+00:00"
"Burrito Loco & Wings","False","True","4","Had the surf and turf burrito and was pleasantly surprised. Burrito was 2x the size of burritos I’ve had in the past and came with great chips and salsa. Will come back again.","2022-06-18 15:19:33.400655+00:00"
"Volcano Curry","False","True","5","My most frequented restaurant by far since moving to SF at the beginning of this year. Very tasty curry and a gem of a spot in Richmond.","2022-06-09 16:13:48.757627+00:00"
