"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Dulce Crepes","False","True","5","One of the best crepes I’ve had. I was able to customize it. Got the traditional batter with graham cracker, white chicken, mascarpone, and Bavarian crème. If I could do it again I would reduce one of the sweet stuff but it was great nonetheless!","2022-04-19 02:43:09.452476+00:00"
"Blackwood","False","True","5","Went for a late night snack. Got an app. Must get the Millionaire’s Bacon. It was so good! ","2022-05-08 02:29:32.551773+00:00"
"Crumbl Cookies - Vienna","False","True","5","Weekly rotation of cookie flavors. This was my first time at crumbl. Got 2 cookies — the Boston creame pie and a classic chocolate chip cookie. Simply amazing. Boston cream was def the move. ","2022-04-24 03:43:20.524106+00:00"
"City Tap - Loudoun","False","True","5","Service was great. Got the street corn dip and chips for app and the Nashville hot chicken. Street corn was really good! And the chicken sandwich came with a big thick tender. Sauce had a kick of hot and sweet. ","2022-04-24 23:39:55.571740+00:00"
"Cluck & Blaze","False","True","5","Nashville hot chicken. So so good. Got the “call your mom” heat level and it was spicy and perfect level for me! Got a chicken Sando and Mac&chicken. It’s A bed of French fries, topped with mac and cheese, with chicken on top. I medium spice level for this. The lady even threw in one of every sauce and gave me two bread puddings on the house. ","2022-09-11 16:55:54.902415+00:00"
"Choongman Chicken","False","True","4","It was alright. It was spicy but not as crispy as I would have liked it ","2022-03-07 17:15:16.304798+00:00"
"Tatsu Ramen","False","True","5","Got the creamy chick ramen and it amazing! The spice level was on point and the flavors were out of this world. The chicken was thick. I could drink the broth like water. It was over 90 degrees that day, but I still went and I’d doing it again in a heart beat","2022-09-11 17:03:24.220864+00:00"
"Double Chicken Please","True","False","","",""
"Rowdy Rooster","True","False","","",""
"Gazab","True","False","","",""
"Flipper’s","True","False","","",""
"Holey Cream","True","False","","",""
"Chote Miya","True","False","","",""
