"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Misi","False","True","4","Solid Italian food, pastas were a bit overhyped but I want to go again to try a couple other pastas for final decision. 🍝 

Ordered the whipped ricotta toast, sheep’s milk ricotta occhi, gnocchi with pork sausage, and bucatini with nduja.

Ended the dinner with chocolate gelato","2022-07-15 16:44:38.021633+00:00"
"Prince Street Pizza","False","True","5","","2022-02-24 18:35:35.721180+00:00"
"3 Arts Club Café","False","True","5","Really classy brunch spot in Chicago! Has both great food and a pretty ambiance. Ordered the Burrata, Egg Scramble, Thick Cut Pork Belly Bacon, and Lobster Roll 🦞 ","2022-06-04 20:42:35.159520+00:00"
"American Brass","False","True","4","Ordered the sourdough focaccia with whipped ricotta, tagliatelle bolognese, and chocolate soufflé. Chocolate soufflé was the highlight of the meal 🥘","2022-05-15 02:28:25.840427+00:00"
"Pequod's Pizza","False","True","5","Got the Half Caesar Salad and Small Pan Pizza. Salad was fine, pizza was amazing! Highly recommend ordering the following toppings: Pepperoni, Onion, Mushroom, Jalapeños, Fresh Garlic, and Fresh Basil pizza 🍕 ","2022-05-30 01:36:49.960733+00:00"
"Wayan","False","True","4","Very tasty and interesting French-Indonesian restaurant! Ordered the combination satays (scallop, chicken, lamb), cucumber mango salad, sashimi, escargot (😮), lobster noodles (my favorite), and crispy pork ribs. 

Enjoyed the meal but not enough for me to go back","2022-08-10 15:12:03.621717+00:00"
"Spicy Moon","True","False","","",""
"Tompkins Square Bagels","True","False","","",""
"Dominique Ansel Workshop","True","False","","",""
"Semma","True","False","","",""
"Don Angie","True","False","","",""
"Lilia Ristorante","True","False","","",""
"SushiLab","True","False","","",""
"BONDST","True","False","","",""
"Au Za’atar","True","False","","",""
"Baazi","True","False","","",""
"Marumi Japanese Restaurant","True","False","","",""
"Lindens","True","False","","",""
"Hidden Leaf","True","False","","",""
"Chinese Tuxedo","True","False","","",""
