"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"El Cielo Miami","False","True","5","A bit on the pricey. end by Jose Andres is a world class chef. Great food, can’t complain and the chocolate experience is one you can’t forget.","2022-05-26 17:13:32.177181+00:00"
"Barcha","False","True","5","Dinner is phenomenal. Lunch is above average. The duck saffron rice is one of my favorite dishes. Duck is cooked to perfection and the crispy saffron rice is flavorful. Kebabs are also great for lunch.","2022-05-26 17:10:54.975682+00:00"
"Chipotle Mexican Grill","False","True","2","Poo portions!! Go to any other Chipotle ","2022-06-23 13:33:05.675909+00:00"
"ROOH","False","True","4","Good food, good drinks, a bit pricey","2022-05-27 18:19:00.220510+00:00"
"Mendocino Farms","False","True","5","Eloke bowl is incredible","2022-06-01 03:48:46.494937+00:00"
"Dirty Habit","False","True","5","Great outdoor bar on the roof, great environment and drinks. Never too packed either and food is above average. Burger is one of the best I’ve had in SF","2022-05-26 17:07:10.784549+00:00"
"The Modern","False","True","5","2 Michelin star and probably the best I’ve been to. The squash soup was the best soup I’ve ever had and the lobster and mushroom were cooked to perfection. The only bad dish for me was the palate cleanser.","2022-05-26 17:17:23.248684+00:00"
