"Place","Want to taste","Tasted","Rating","Review","Timestamp"
"Barcelona Wine Bar","False","True","5","Tapas style, brocolini is fantastic, batata bravas, sangria, mushrooms are a must try","2022-05-14 13:15:49.576019+00:00"
"Yvonne's","False","True","5","The cocktails here are the best. Awesome speakeasy","2022-06-08 22:45:30.746459+00:00"
"Thai Villa","False","True","5","Amazing ambience, drinks and food were great","2022-05-14 13:12:25.863435+00:00"
"Gourmet Dumpling House","False","True","5","Mapo tofu, braised eggplant with basil, sichuan chicken curry, fish with sichuan sauce, wontons, vegetable fried rice, and the MVP of them all - soup dumplings ","2022-05-16 10:43:38.357894+00:00"
"Dhamaka","True","False","","",""
"Chote Miya","True","False","","",""
